mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
39.278879721959434,0.517210961805661,0.3410763740539551,0.0371557849472263,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8786535230608529,0.9181495913602438,0.90829808365799,0.9017003993596956,0.016785547977402244,1
41.60370500882467,0.13731110293443477,0.577294667561849,0.03600246254215286,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8776928500432589,0.9183895382085304,0.9079556109341739,0.9013459997286545,0.017259206762796367,2
46.387569983800255,0.31426325265175603,0.43750786781311035,0.007373061961279529,20,2,200,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8782315764799694,0.9178643428410798,0.9078659056736437,0.9013206083315644,0.01682893798056914,3
46.226535876592,0.5671604076630169,0.28500620524088544,0.06541387487698463,20,5,200,"{'model__max_depth': 20, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8780987844484057,0.9177814641713499,0.9079194582554202,0.901266568958392,0.016869587418336104,4
18.247629006703693,0.03959421227834166,0.15518959363301596,0.00959863219770167,,5,100,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8764397207736643,0.9171894675006542,0.9074467817007391,0.9003586566583525,0.01737462905197955,5
20.524551709493,1.1285445336770117,0.19743124643961588,0.021041696995682653,20,2,100,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8760100556550166,0.91717050067234,0.9068559842991156,0.9000121802088241,0.01748663869598242,6
22.514407237370808,0.1739698408561324,0.17611614863077799,0.008483485184893008,20,5,100,"{'model__max_depth': 20, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8759155778328032,0.9172676603780774,0.9068045529476945,0.8999959303861917,0.01755499337503999,7
19.56127134958903,0.0949627860665767,0.2530885537465413,0.018320043018423385,,2,100,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8751470115635451,0.9175835620067898,0.9070830632644624,0.8999378789449324,0.01804633753425803,8
22.976911226908367,0.2373177513708534,0.129013458887736,0.016943203696797887,10,2,200,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8753341844066664,0.9157147327649311,0.9051287597310126,0.89872589230087,0.017095705209682007,9
22.821801900863647,0.12256466433727113,0.14665563901265463,0.01368631600226899,10,5,200,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.875011225348516,0.9154188548469014,0.9049147265852722,0.8984482689268966,0.017118322277711092,10
11.279968976974487,0.05666824304083152,0.1114654541015625,0.05196506247977824,10,2,100,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8735121598968598,0.9155895263927943,0.9042260557125428,0.8977759140007322,0.01777319027608955,11
11.095080852508545,0.4568744086447996,0.06705617904663086,0.011261219132805715,10,5,100,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8725008986493232,0.9152045924563357,0.9037635456186821,0.8971563455747803,0.018048872273281967,12
